# Generated by models/gen_fixtures.sh. Do not edit.
# fixture	source-sha256	defs	main-core-hash	core-hash-list-sha256	core-json-sha256	result
abort	09781e88504ca4af004ceae2d6e85f9447e6e92b226bc1950460b89a343cdfb1	401	6d51727acb608d05	ed175e96c3e7f65596dd4a7db920c21f8170a55edf7f2e07e37934e49316efe4	d80a3c757cb1c169e462b6ceafcc7bafa42d036bb34e02ad3e3ed8e40d6f44a0	99
adt	242cd88e2f80245d824a6418770603f51825631d1932eb92b0fa04c7a537a639	401	4c91a3f19e66aa75	4d949294ab78a3db68cfb23f34f0da099013a76f878d9dee2c34c65ce78f5734	11b4d8ff725bd78e5454d02aa09f097a7285808c5f223bd062d9c6cda203971d	42
ask	63211ce995a48adabb6581d0804fc68df584f0c32d6c1e1049b17d6aafa29e54	401	3e1222ff98bdf3f9	10a7e7fd874353a164d18fc10180fce56721bcc9bcc6fea5371bef21a5395aab	495c7fa0cb1dc881c267f6dcb6cfab2469bd18fa1da4fa060b8d68958d0eabbf	6
env	f8d00492ac53afd81198b360353e09f39b9b940d41051049ae5108b2ab78b027	401	82839cd467e3cb8b	3c0b752960692a5c398a4585e64e9578c40871c0559cb13b2a1ebe3f1ac221fe	a1f64458074de6993322e872d5904d558a7d6c58d7b812fc2f74e575eb5e94f4	42
fact	7e2d35f7f65c231bdca2cf4a062d860cf50e838d2ed723a1edc92c7546ad624d	401	5ab799b3c383534b	61d479bf9a5c319e0f45bd1c79b4bc989fb43a5a27d3d340f33c788880d33373	bdbf3849e2c8b00b8602387a347744fd5a8bb4b006f88a14ea882a665012516d	720
fibers	28488ddcf465fe0b15abfcfeda437f12e53e4ddf36cf8715f6a9161959a14a0e	448	a586a20b23ee3f74	a9c12a05c09187372c2defdb7e82bd948d9358b8fc4b53bed73d19aa2ad1e26b	019bf1eb505ccc20ddeb06ff3e090f6bb3e003e492c4973bfeb0403c183eb3d9	48
floatari	b57bbe2958fc126a75fc7f9ff7a78a8f08d1a404e08c25fa9cda13ae6a87acbf	400	a9b5cfc793cd2255	40fadad0c2d3f3f2f4c3ef5b7bb5f9225b4740a5b2965f2b5e1d5d7735b7ae38	51feb529f6addfbea2cca938f2cc32dc1260ee4ca168651f9bd1d8e6cad8e287	3.75
floatcmp	8799d3b46b4df71427558b8f4f31fe4768509c2e45a35db096c749e1e39e215a	400	19a74b26533e7108	4d2b02e36f53fa8797a129a767c2b953030352065d213ca3474c5a34be06ef77	85f48db6236c1f3603bf625b40291bb49db9081c3fd8894653b22465bf9b9179	true
floatdiv	a14c21777aaeeae2b18c57a407d519fb6e48bfaf0186f945e65b27814cc46256	400	9f5ded8368e50525	db4f772391161305225f8bd47db80da6a4c52d9b8920a7ee587a306a5f9b11b3	638b0c5efea5d0dda8b396f4134967513aafd4db7c633dc7319ab81ff27aa077	3.3333333333333335
floatlit	04a25cbe23f0d2352d35f27f5cfda172aba7c529a7f046fe8184a66973a14375	400	4ce14a2cc60c4570	7814894ab2fc52597b160a7af3d81a0d53f70d6617716dedc273d93f9180c6c7	8662926b9645f962992ecd1091fb8e5765e4ece440de048bb59284456d2d32bf	3.14
inc	897ea723d21a450cd7a72ef20cb93869c7296291d29a3c51909a6eca3beec3a0	401	5b20635b2a26d59f	aa7ed95c3c3dcf68901db4e221aad45a5f500f1fbedae67d3ba3330a49be1d31	7468b77d74d48bcc2d2bc382a286188004ec769cf6e9767ae77a866f69d0e5f5	42
ite	5d4e3b61271fc220054b0a0839cb4c6c3ca61022489f9f01ad78fc943cece4a2	400	22776b4e8f131f23	480ecd8fa2a11488f11b668e77a2ad2957053d569ca0f4ec1b2d95837a76d003	d324b71a86439bcf9e2efa7f39fa8b3e00b90bbc1f2ffa5b966da0a79dc7eff0	1
lambda	c33d649f19607ef375f8119fa1c9e8c072ef5d2b3cbd0e7e0ecef4036f0de1ef	401	8031a4a29c726c03	29838a04e16215c079980ea38cb09671fb81d865a9dea3fa958b677ec3e608ae	a130e07828b591a432cfbf6125c6e99a8fd573e5c155de962bc6b05395e589fe	7
letc	f994f6807d47795822816cc95a995e313b6349ce6cff0ce1032106208a7a856f	400	6c70e4d33076e2e2	3e31d4cc6f47f01daee1a0f1291d6997ac280b7a79312103f7502e91e603a7d7	0ba8bca5ad354370bae8b98df1ad66be65039440096e4088341341b9ace276ae	200
logic	e0769d60122d4be419a175528f4d247dd2f3e5f2335baadc09aaf91a4739aeb6	400	eb38a0879a7af3f0	de06298908cb2e305c13a4408127590bb2a42700a8b703cb12b06635e09ed027	2b60ece8556620d787822a1852237b2b173835dec047e9d042fc0ad775aec122	true
mul	6f9f8ae1a87861e6f68dd52b1446013cc0c1cf08c988ab5b2f8257b42ee3a7ef	400	98d9c1c8141a3608	7934872f5dbc03b88282d1b5e19ea625dab60998e8df095f4bb34a321eca971a	706d401273e35a3dc3129df902e12f09b515f6c49f7fe9c6f0dbafcdc506d40a	42
multishot	2d662c0755c649d4f92ae66a7e0441846b7c5282ae3c221dae57c572bbcf07f3	401	faf786004730df1c	0fd4ceef63a5b7b2ff647ca61d6e43c0753a994cc9fc1284c810c3eda03cde2d	72b0fe71813b31a47f8dfdc4e97771e582496f9b29b6326657affbc8ce6b1f26	1
nested	b6d540553386bb6d86ca93be543785afd61ba601829cad0a91bda7f253b773b3	401	56f7e55f6b3ec9b6	ca4f626562b764ff665c5216b10bf42befa417c2d69fea0fa0f9a5a5085ee2d3	ae3b07b604bd001fd90b33439a5a4315901c31bea2cef78940ed40c05f7256d5	12
pair	fd31ee251a7623a6fe27425b4909e6b59a43683e6abcb3fb8512ce9b031a8139	401	18ed00e62c99b81c	44cfb0ce6712b9a888f5fb29a169e266c5ff5e83c9dc645c9b74806d2b5a54f2	eac18275371fe6ed67a314ee8030e0872c5edaadf10cbd5e01acffed6173239f	(2, 1)
statethread	16a146a2d2efa99e286d2034656f0ebc058f3aaa1cfc072f38691792258a683c	401	61a6f24a1919e7a2	7a59b15e8e4c83fc3363508245d295c76bcc4870cfc6d24fbe23b480a7e86134	4692f2ba998d4d18818ac87de133f437e406fd118db32f68d3f56f225bbdd258	10
str	f4fa41fa58d3762f7d6eabb69c12adc0b182492377930e3e366c94f728e45273	400	6dcd558c601d2816	5777e0beed3fd04bd358bedcbc6391a685d33b868911be0879d1eb9a32142166	ae2e51835d26c1770af1967049f7ff27f248ade6c540b5c85d749b4ff756bdd2	hello
tup	6d83dc8d938305b082cea0e5300357e0ecfff3b733356233acf21bd03c371764	400	931bfef9584d09d1	4a653bd57eb2dc72293686213417edcf6b403a1e4de8c79202cb584da970511d	4ec6eab4d553545e3ef26e5ccbba7fbd65979916eacaae565d08268ee3c491b4	(1, 2)
vec	407c731a93ba2982421589bbe100820699eef96c07dc830d77f34df498960162	400	292d007a7aa2ec02	a530efd8010783036a118cc93198f252c2915c754dac4d7ebc7bf983bcad313b	6f1586e39654c21dad7f7eb194eb5cd974d337b0f80c194634382e59933eb197	Vec2(9, 4)
widths	81ef12e044c54c89a61f3cc0211a4397295cdc40fa637e8084c1334e5dec0f56	400	12405a88433dad16	4e4fe14064c64fc5d6085fe667f3214cb676b365600fb30d2c4cee9b1251e862	6466ffc46ba41087251a8d295ba8237bfded47d47f7896e91f0f405bc5319b48	(42, 7)
